Word	PartOfSpeech
sixth	ADJ
whole	ADJ
small	ADJ
bottom	ADJ
upper	ADJ
right	ADJ
other	ADJ
cute	ADJ
main	ADJ
shortest	ADJ
cutest	ADJ
funniest	ADJ
full	ADJ
Chinese	ADJ
fine	ADJ
Decorative	ADJ
real	ADJ
deep	ADJ
decorative	ADJ
pointless	ADJ
more	ADJ
first	ADJ
favorite	ADJ
little	ADJ
sudden	ADJ
careful	ADJ
final	ADJ
right	ADJ
tall	ADJ
certain	ADJ
unyielding	ADJ
right	ADJ
new	ADJ
good	ADJ
right	ADJ
good	ADJ
glad	ADJ
crazy	ADJ
crazy	ADJ
old	ADJ
big	ADJ
strong	ADJ
straight	ADJ
wonderful	ADJ
gigantic	ADJ
nice	ADJ
little	ADJ
terrible	ADJ
dreadful	ADJ
many	ADJ
great	ADJ
bent	ADJ
many	ADJ
ridiculous	ADJ
